dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,humidity,rain_1h,rain_3h,weather_id,weather_main,weather_description,weather_icon
1661990400,2022-09-01 00:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,72.16,71.94,61,,,800,Clear,sky is clear,01n
1661994000,2022-09-01 01:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,69.78,69.8,71,,,801,Clouds,few clouds,02n
1661997600,2022-09-01 02:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,68.94,68.92,72,,,800,Clear,sky is clear,01n
1662001200,2022-09-01 03:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,67.32,67.32,76,,,800,Clear,sky is clear,01n
1662004800,2022-09-01 04:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,66.63,66.67,78,,,800,Clear,sky is clear,01n
1662008400,2022-09-01 05:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,64.47,64.47,82,,,800,Clear,sky is clear,01n
1662012000,2022-09-01 06:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,64.06,64.11,84,,,800,Clear,sky is clear,01n
1662015600,2022-09-01 07:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,63.79,63.95,87,,,800,Clear,sky is clear,01n
1662019200,2022-09-01 08:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,62.85,62.98,88,,,800,Clear,sky is clear,01n
1662022800,2022-09-01 09:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,62.15,62.24,89,,,800,Clear,sky is clear,01n
1662026400,2022-09-01 10:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,61.48,61.56,90,,,800,Clear,sky is clear,01n
1662030000,2022-09-01 11:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,60.66,60.75,92,,,800,Clear,sky is clear,01d
1662033600,2022-09-01 12:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,61.79,61.9,90,,,800,Clear,sky is clear,01d
1662037200,2022-09-01 13:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,66.85,67.14,83,,,800,Clear,sky is clear,01d
1662040800,2022-09-01 14:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,71.96,72.43,76,,,800,Clear,sky is clear,01d
1662044400,2022-09-01 15:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,74.77,75.38,73,,,800,Clear,sky is clear,01d
1662048000,2022-09-01 16:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,76.23,76.78,69,,,802,Clouds,scattered clouds,03d
1662051600,2022-09-01 17:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,78.6,79.27,66,,,802,Clouds,scattered clouds,03d
1662055200,2022-09-01 18:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,80.62,82.98,63,,,803,Clouds,broken clouds,04d
1662058800,2022-09-01 19:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,81.46,83.84,61,,,803,Clouds,broken clouds,04d
1662062400,2022-09-01 20:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,82.2,84.72,60,,,803,Clouds,broken clouds,04d
1662066000,2022-09-01 21:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,81.72,84.02,60,,,802,Clouds,scattered clouds,03d
1662069600,2022-09-01 22:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,81.23,83.07,58,,,801,Clouds,few clouds,02d
1662073200,2022-09-01 23:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,79.52,79.52,63,,,801,Clouds,few clouds,02d
1662076800,2022-09-02 00:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,75.87,76.35,68,,,800,Clear,sky is clear,01n
1662080400,2022-09-02 01:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,73.35,73.85,74,,,801,Clouds,few clouds,02n
1662084000,2022-09-02 02:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,70.68,71.08,77,,,801,Clouds,few clouds,02n
1662087600,2022-09-02 03:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,69.98,70.34,78,,,800,Clear,sky is clear,01n
1662091200,2022-09-02 04:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,67.98,68.2,79,,,801,Clouds,few clouds,02n
1662094800,2022-09-02 05:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,67.17,67.15,76,,,800,Clear,sky is clear,01n
1662098400,2022-09-02 06:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,66.18,66.25,80,,,800,Clear,sky is clear,01n
1662102000,2022-09-02 07:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,64.63,64.71,83,,,800,Clear,sky is clear,01n
1662105600,2022-09-02 08:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,63.45,63.48,85,,,800,Clear,sky is clear,01n
1662109200,2022-09-02 09:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,61.41,61.43,89,,,804,Clouds,overcast clouds,04n
1662112800,2022-09-02 10:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,60.93,60.94,90,,,804,Clouds,overcast clouds,04n
1662116400,2022-09-02 11:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,60.57,60.6,91,,,800,Clear,sky is clear,01d
1662120000,2022-09-02 12:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,62.37,62.49,89,,,800,Clear,sky is clear,01d
1662123600,2022-09-02 13:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,68.61,69.08,83,,,800,Clear,sky is clear,01d
1662127200,2022-09-02 14:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,74.34,75.04,76,,,800,Clear,sky is clear,01d
1662130800,2022-09-02 15:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,77.38,78.06,69,,,800,Clear,sky is clear,01d
1662134400,2022-09-02 16:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,79.97,79.97,66,,,800,Clear,sky is clear,01d
1662138000,2022-09-02 17:00:00 +0000 UTC,-14400,Pittsburgh,40.438661,-79.997235,81.19,83.79,63,,,801,Clouds,few clouds,02d
